レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品数,購入商品
R0569,北区,男性,40代,火,2024/05/21,21:23,夜,460,2,アイス 炭酸飲料
R0570,東区,男性,40代,日,2024/10/20,21:41,夜,400,2,缶コーヒー 冷凍食品
R0571,東区,女性,30代,日,2024/07/07,20:50,夜,820,4,チョコレート 肉まん ポテトチップス 炭酸飲料
R0572,中央区,女性,40代,木,2024/01/11,06:35,朝,360,2,ヨーグルト コーヒー
R0573,北区,女性,40代,水,2024/09/04,14:31,昼,960,3,牛乳 歯ブラシ トイレットペーパー
R0574,西区,女性,30代,木,2024/04/18,07:41,朝,590,3,卵 おにぎり パン
R0575,中央区,女性,10代,木,2024/02/29,11:10,昼,140,1,おにぎり
R0576,東区,女性,10代,月,2024/01/29,13:35,昼,140,1,おにぎり
R0577,西区,女性,40代,土,2024/02/03,11:05,昼,390,2,チョコレート 野菜ジュース
R0578,中央区,女性,30代,木,2024/10/24,17:03,夜,290,1,サラダ
R0579,西区,女性,40代,日,2024/01/21,11:07,昼,840,4,ジュース アイス チョコレート 炭酸飲料
R0580,中央区,男性,30代,火,2024/06/18,11:27,昼,770,3,サンドイッチ おにぎり カップ麺
R0581,西区,男性,10代,木,2024/09/19,13:17,昼,150,1,アイス
R0582,東区,男性,20代,火,2024/07/30,11:10,昼,760,4,肉まん アイス 冷凍食品 お茶
R0583,東区,男性,30代,月,2024/08/26,09:49,朝,180,1,カップ麺
R0584,中央区,女性,30代,日,2024/09/08,19:36,夜,820,3,野菜ジュース キャンディ サラダ
R0585,東区,男性,40代,金,2024/08/23,11:22,昼,470,3,肉まん カップ麺 缶コーヒー
R0586,西区,女性,20代,金,2024/09/13,08:18,朝,620,2,ジュース サンドイッチ
R0587,中央区,男性,20代,土,2024/12/07,20:33,夜,930,4,ポテトチップス キャンディ サラダ カップ麺
R0588,東区,男性,20代,土,2024/06/08,19:16,夜,1370,5,サラダ おにぎり お茶 弁当 炭酸飲料
R0589,北区,女性,60代以上,金,2024/10/18,14:45,昼,620,3,おにぎり トイレットペーパー 洗剤
R0590,西区,男性,30代,月,2024/01/08,18:12,夜,920,4,ヨーグルト 栄養ドリンク 炭酸飲料 卵
R0591,西区,女性,20代,土,2024/07/20,21:46,夜,340,2,アイス 肉まん
R0592,西区,男性,50代,月,2024/09/02,12:05,昼,780,4,ヨーグルト 炭酸飲料 ポテトチップス ジュース
R0593,西区,男性,40代,金,2024/08/30,08:58,朝,790,3,ガム 栄養ドリンク 卵
R0594,中央区,女性,30代,木,2024/12/19,12:11,昼,530,2,卵 サラダ
R0595,西区,男性,20代,金,2024/07/26,18:37,夜,1190,3,弁当 炭酸飲料 ガム
R0596,北区,男性,20代,月,2024/12/30,08:40,朝,350,2,野菜ジュース コーヒー
R0597,中央区,女性,50代,月,2024/11/04,21:21,夜,1050,4,卵 牛乳 トイレットペーパー 洗剤
R0598,北区,女性,30代,土,2024/05/11,06:55,朝,790,3,牛乳 フルーツ ヨーグルト
R0599,西区,男性,40代,日,2024/05/26,14:03,昼,930,4,キャンディ コーヒー お茶 サラダ
R0600,東区,男性,30代,月,2024/10/21,13:23,昼,350,2,カップ麺 ジュース
R0601,西区,女性,60代以上,金,2024/11/22,13:51,昼,620,2,ポテトチップス 弁当
R0602,北区,女性,50代,火,2024/10/01,11:59,昼,310,2,肉まん お茶
R0603,西区,男性,60代以上,日,2024/05/05,09:46,朝,1320,5,お茶 卵 トイレットペーパー 牛乳 歯ブラシ
R0604,西区,男性,40代,金,2024/12/20,12:49,昼,150,1,アイス
R0605,北区,女性,20代,水,2024/06/26,18:44,夜,870,3,歯ブラシ トイレットペーパー 卵
R0606,中央区,女性,20代,木,2024/06/13,06:35,朝,170,1,コーヒー
R0607,北区,女性,30代,日,2024/08/11,12:47,昼,450,1,サンドイッチ
R0608,東区,女性,50代,日,2024/08/25,08:30,朝,880,4,おにぎり コーヒー サンドイッチ お茶
R0609,北区,女性,20代,月,2024/10/07,13:09,昼,310,2,コーヒー おにぎり
R0610,西区,男性,10代,火,2024/01/16,18:23,夜,300,1,冷凍食品
R0611,中央区,男性,40代,金,2024/12/20,11:26,昼,490,2,冷凍食品 肉まん
R0612,西区,女性,20代,木,2024/06/27,11:15,昼,550,4,ジュース ポテトチップス お茶 アイス
R0613,中央区,男性,30代,火,2024/02/06,12:11,昼,470,2,野菜ジュース サラダ
R0614,東区,男性,30代,土,2024/01/13,15:00,昼,530,2,サラダ 卵
R0615,北区,女性,10代,月,2024/03/18,21:44,夜,1700,5,ティッシュ トイレットペーパー 炭酸飲料 歯ブラシ ガム
R0616,中央区,女性,40代,土,2024/10/19,13:15,昼,1010,5,サラダ 野菜ジュース アイス お茶 フルーツ
R0617,北区,女性,40代,水,2024/09/11,12:36,昼,450,2,フルーツ 野菜ジュース
R0618,北区,女性,30代,月,2024/03/18,13:23,昼,690,3,ジュース キャンディ コーヒー
R0619,西区,女性,50代,月,2024/09/30,07:09,朝,830,3,おにぎり 卵 サンドイッチ
R0620,中央区,男性,20代,月,2024/07/22,07:31,朝,850,3,サンドイッチ ポテトチップス サラダ
R0621,中央区,女性,20代,日,2024/12/01,18:03,夜,290,2,肉まん 缶コーヒー
R0622,東区,男性,10代,金,2024/08/23,21:33,夜,240,2,おにぎり 缶コーヒー
R0623,中央区,男性,60代以上,木,2024/05/09,13:53,昼,670,3,卵 おにぎり サラダ
R0624,西区,男性,50代,金,2024/10/04,06:41,朝,570,2,サンドイッチ お茶
R0625,中央区,女性,60代以上,水,2024/10/02,11:04,昼,570,3,コーヒー パン ヨーグルト
R0626,東区,女性,20代,金,2024/01/19,22:05,夜,600,3,カップ麺 炭酸飲料 ポテトチップス
R0627,西区,男性,40代,金,2024/11/29,12:46,昼,400,2,缶コーヒー 冷凍食品
R0628,西区,男性,40代,木,2024/11/21,14:31,昼,650,3,チョコレート おにぎり 冷凍食品
R0629,西区,男性,40代,火,2024/09/24,20:15,夜,1040,4,弁当 肉まん コーヒー ジュース
R0630,北区,男性,60代以上,月,2024/07/01,07:31,朝,1260,4,ティッシュ 牛乳 卵 歯ブラシ
R0631,東区,男性,10代,月,2024/07/15,11:12,昼,620,3,おにぎり サラダ 肉まん
R0632,東区,女性,50代,水,2024/03/06,11:02,昼,1080,3,お茶 サンドイッチ 弁当
R0633,西区,女性,10代,水,2024/08/28,12:43,昼,560,2,チョコレート キャンディ
R0634,中央区,女性,60代以上,木,2024/04/18,09:43,朝,290,1,サラダ
R0635,中央区,男性,20代,火,2024/07/30,12:00,昼,620,2,コーヒー サンドイッチ
R0636,北区,女性,50代,金,2024/08/16,20:52,夜,870,3,ティッシュ 歯ブラシ 野菜ジュース
R0637,西区,男性,20代,日,2024/03/31,19:54,夜,570,3,ポテトチップス 炭酸飲料 アイス
R0638,北区,女性,30代,月,2024/07/01,11:36,昼,660,2,パン サンドイッチ
R0639,西区,男性,10代,日,2024/07/07,13:16,昼,730,3,チョコレート キャンディ ジュース
R0640,中央区,男性,40代,月,2024/06/24,21:20,夜,330,2,おにぎり 肉まん
R0641,東区,女性,10代,木,2024/05/16,17:03,夜,170,1,ジュース
R0642,中央区,男性,40代,月,2024/09/16,12:49,昼,620,2,ジュース サンドイッチ
R0643,中央区,男性,60代以上,火,2024/08/27,09:42,朝,380,2,おにぎり 卵
R0644,中央区,男性,30代,水,2024/10/02,13:30,昼,830,3,カップ麺 弁当 おにぎり
R0645,西区,男性,20代,土,2024/11/16,11:19,昼,680,2,弁当 ジュース
R0646,西区,男性,50代,木,2024/01/11,13:08,昼,580,3,ヨーグルト パン カップ麺
R0647,中央区,女性,60代以上,土,2024/02/17,13:21,昼,1000,3,弁当 炭酸飲料 カップ麺
R0648,西区,女性,10代,日,2024/07/07,17:25,夜,920,4,アイス ポテトチップス サラダ ガム
R0649,西区,女性,30代,木,2024/10/10,12:57,昼,170,1,コーヒー
R0650,中央区,男性,60代以上,金,2024/07/26,13:07,昼,120,1,お茶
R0651,北区,男性,60代以上,火,2024/12/31,11:48,昼,350,2,コーヒー カップ麺
R0652,北区,女性,40代,木,2024/04/18,08:29,朝,560,3,お茶 フルーツ コーヒー
R0653,北区,男性,50代,土,2024/06/15,09:14,朝,1280,5,洗剤 シャンプー ティッシュ 牛乳 歯ブラシ
R0654,西区,男性,50代,土,2024/07/06,13:42,昼,1230,4,洗剤 トイレットペーパー 歯ブラシ サンドイッチ
R0655,東区,男性,40代,土,2024/11/09,09:15,朝,870,3,歯ブラシ 卵 トイレットペーパー
R0656,北区,女性,10代,火,2024/01/16,11:13,昼,350,2,コーヒー カップ麺
R0657,東区,女性,20代,日,2024/02/18,12:35,昼,510,1,弁当
R0658,北区,男性,50代,木,2024/03/07,19:37,夜,590,3,野菜ジュース お茶 サラダ
R0659,中央区,女性,20代,水,2024/11/06,06:04,朝,510,2,野菜ジュース 牛乳
R0660,中央区,男性,20代,金,2024/10/18,18:15,夜,290,2,コーヒー お茶
R0661,東区,女性,40代,木,2024/01/25,20:43,夜,800,3,炭酸飲料 肉まん 冷凍食品
R0662,北区,男性,50代,木,2024/07/04,12:56,昼,860,4,牛乳 卵 シャンプー カップ麺
R0663,中央区,男性,40代,金,2024/06/28,17:45,夜,1080,4,サラダ 炭酸飲料 ガム ポテトチップス
R0664,中央区,女性,60代以上,火,2024/10/22,21:45,夜,320,2,おにぎり 野菜ジュース
R0665,西区,女性,20代,土,2024/03/30,19:41,夜,290,2,ポテトチップス カップ麺
R0666,北区,男性,50代,木,2024/04/25,19:13,夜,860,4,アイス 冷凍食品 缶コーヒー 炭酸飲料
R0667,東区,女性,50代,火,2024/04/23,07:02,朝,620,3,サラダ 肉まん おにぎり
R0668,東区,女性,20代,日,2024/10/06,12:38,昼,1080,5,野菜ジュース 栄養ドリンク ヨーグルト サラダ 卵
R0669,西区,女性,10代,火,2024/05/28,21:36,夜,1140,4,カップ麺 ガム サンドイッチ おにぎり
R0670,西区,男性,30代,水,2024/05/08,11:56,昼,810,3,アイス キャンディ 炭酸飲料
R0671,東区,男性,40代,木,2024/05/02,11:19,昼,510,1,弁当
R0672,東区,女性,30代,土,2024/04/13,11:06,昼,470,2,栄養ドリンク サラダ
R0673,北区,女性,10代,火,2024/03/12,06:58,朝,180,1,野菜ジュース
R0674,北区,男性,50代,日,2024/03/10,17:28,夜,660,3,歯ブラシ チョコレート 洗剤
R0675,北区,男性,40代,金,2024/09/20,09:41,朝,870,4,ヨーグルト 卵 牛乳 シャンプー
R0676,西区,女性,40代,水,2024/03/06,11:04,昼,960,3,弁当 牛乳 お茶
R0677,北区,女性,20代,土,2024/04/06,13:14,昼,980,4,キャンディ チョコレート シャンプー 炭酸飲料
R0678,西区,女性,60代以上,月,2024/08/12,17:52,夜,340,2,アイス 肉まん
R0679,西区,女性,20代,木,2024/05/02,12:00,昼,800,3,カップ麺 ジュース サンドイッチ
R0680,中央区,男性,10代,木,2024/08/01,10:29,朝,120,1,お茶
R0681,西区,女性,10代,金,2024/05/10,09:02,朝,650,3,キャンディ ポテトチップス ヨーグルト
R0682,北区,女性,60代以上,火,2024/04/09,06:47,朝,560,2,フルーツ サラダ
R0683,東区,女性,50代,火,2024/12/31,07:48,朝,630,2,カップ麺 サンドイッチ
R0684,中央区,男性,20代,土,2024/01/06,09:28,朝,120,1,お茶
R0685,中央区,男性,40代,火,2024/03/26,11:45,昼,170,1,ジュース
R0686,西区,女性,20代,日,2024/12/01,17:59,夜,630,3,炭酸飲料 ポテトチップス チョコレート
R0687,西区,男性,30代,月,2024/08/12,09:43,朝,240,1,卵
R0688,東区,男性,10代,金,2024/08/02,07:27,朝,290,2,ジュース お茶
R0689,中央区,男性,30代,水,2024/06/26,08:49,朝,240,1,卵
R0690,北区,女性,30代,火,2024/12/10,18:32,夜,690,2,ティッシュ 歯ブラシ
R0691,北区,女性,50代,火,2024/04/16,21:12,夜,810,3,トイレットペーパー 冷凍食品 野菜ジュース
R0692,中央区,男性,40代,火,2024/09/03,11:22,昼,140,1,おにぎり
R0693,北区,女性,30代,木,2024/07/11,07:13,朝,480,2,洗剤 トイレットペーパー
R0694,東区,女性,50代,火,2024/04/16,21:26,夜,740,3,シャンプー トイレットペーパー 冷凍食品
R0695,北区,男性,50代,日,2024/12/15,19:37,夜,360,2,アイス チョコレート
R0696,西区,男性,30代,月,2024/08/19,13:54,昼,720,2,キャンディ ガム
R0697,北区,男性,10代,土,2024/09/07,07:51,朝,600,3,卵 洗剤 パン
R0698,北区,女性,30代,金,2024/11/22,21:51,夜,900,4,お茶 卵 チョコレート 牛乳
R0699,西区,男性,30代,金,2024/02/02,20:33,夜,140,1,おにぎり
R0700,西区,女性,20代,水,2024/05/01,14:33,昼,690,3,卵 フルーツ 栄養ドリンク
R0701,北区,女性,50代,木,2024/11/14,19:22,夜,540,2,トイレットペーパー チョコレート
R0702,中央区,女性,30代,土,2024/11/30,20:31,夜,450,2,キャンディ 缶コーヒー
R0703,中央区,女性,60代以上,土,2024/08/24,11:43,昼,790,4,パン シャンプー カップ麺 サラダ
R0704,西区,男性,60代以上,水,2024/10/02,14:39,昼,490,3,カップ麺 コーヒー おにぎり
R0705,中央区,女性,20代,火,2024/07/09,18:44,夜,490,3,ポテトチップス おにぎり 卵
R0706,西区,女性,20代,金,2024/04/26,14:46,昼,560,2,チョコレート キャンディ
R0707,東区,男性,10代,月,2024/09/09,10:17,朝,350,2,コーヒー 野菜ジュース
R0708,北区,男性,30代,火,2024/03/26,08:48,朝,500,3,コーヒー おにぎり ヨーグルト
R0709,中央区,女性,10代,火,2024/08/20,19:17,夜,570,3,キャンディ シャンプー ポテトチップス
R0710,西区,男性,30代,日,2024/02/18,17:36,夜,650,3,アイス 炭酸飲料 肉まん
R0711,西区,男性,30代,金,2024/04/19,21:07,夜,860,4,アイス 炭酸飲料 缶コーヒー 冷凍食品
R0712,北区,女性,30代,金,2024/01/19,10:00,朝,240,1,卵
R0713,西区,女性,50代,火,2024/01/23,14:13,昼,570,2,お茶 サンドイッチ
R0714,中央区,男性,40代,木,2024/02/15,10:18,朝,180,1,野菜ジュース
R0715,北区,男性,50代,金,2024/05/24,11:13,昼,430,3,おにぎり コーヒー お茶
R0716,北区,女性,60代以上,日,2024/12/29,14:20,昼,1320,6,卵 サラダ ヨーグルト アイス 栄養ドリンク フルーツ
R0717,北区,女性,50代,火,2024/09/17,21:34,夜,360,2,肉まん ジュース
R0718,東区,女性,40代,火,2024/02/20,13:22,昼,700,4,フルーツ お茶 ジュース おにぎり
R0719,北区,男性,30代,水,2024/02/07,12:33,昼,480,2,ヨーグルト サラダ
R0720,中央区,女性,10代,日,2024/10/13,13:36,昼,570,2,ティッシュ カップ麺
R0721,西区,女性,60代以上,月,2024/03/18,20:16,夜,640,3,栄養ドリンク フルーツ ヨーグルト
R0722,北区,女性,50代,金,2024/08/09,13:37,昼,820,4,フルーツ 栄養ドリンク 野菜ジュース ヨーグルト
R0723,北区,女性,10代,水,2024/07/24,10:01,朝,310,2,コーヒー おにぎり
R0724,中央区,女性,20代,金,2024/12/20,18:31,夜,300,2,お茶 カップ麺
R0725,西区,男性,50代,日,2024/06/30,22:09,夜,560,3,ポテトチップス アイス 冷凍食品
R0726,中央区,男性,60代以上,金,2024/02/16,13:27,昼,800,2,弁当 サラダ
R0727,東区,女性,30代,水,2024/08/21,14:11,昼,500,3,アイス ジュース 栄養ドリンク
R0728,北区,女性,30代,火,2024/09/17,17:43,夜,170,1,ジュース
R0729,西区,女性,20代,月,2024/04/01,13:09,昼,350,2,コーヒー カップ麺
R0730,中央区,女性,50代,火,2024/05/21,10:02,朝,990,4,サラダ 牛乳 ヨーグルト 野菜ジュース
R0731,中央区,男性,20代,土,2024/03/23,07:58,朝,320,2,ジュース アイス
R0732,北区,男性,10代,金,2024/01/12,20:08,夜,760,3,コーヒー おにぎり サンドイッチ
R0733,東区,男性,10代,土,2024/08/17,14:30,昼,360,2,チョコレート アイス
R0734,中央区,女性,20代,火,2024/12/03,08:09,朝,210,1,パン
R0735,北区,女性,20代,火,2024/12/10,11:12,昼,600,3,サラダ ジュース おにぎり
R0736,中央区,女性,40代,日,2024/12/29,12:47,昼,1000,4,サンドイッチ ヨーグルト ジュース 肉まん
R0737,東区,女性,10代,火,2024/11/26,14:30,昼,620,3,肉まん 炭酸飲料 お茶
R0738,中央区,女性,60代以上,日,2024/03/10,12:27,昼,930,4,フルーツ 野菜ジュース ヨーグルト サラダ
R0739,東区,女性,30代,水,2024/12/04,11:59,昼,620,2,ジュース サンドイッチ
R0740,中央区,女性,30代,土,2024/03/09,08:24,朝,620,3,コーヒー 卵 パン
R0741,北区,男性,40代,土,2024/02/24,11:10,昼,1050,4,フルーツ 洗剤 歯ブラシ トイレットペーパー
R0742,北区,女性,30代,月,2024/10/14,11:32,昼,680,3,おにぎり 洗剤 ティッシュ
R0743,西区,男性,40代,月,2024/10/07,22:29,夜,310,1,炭酸飲料
R0744,北区,男性,10代,土,2024/02/17,19:11,夜,930,4,洗剤 アイス トイレットペーパー 歯ブラシ
R0745,西区,女性,60代以上,金,2024/06/21,18:41,夜,180,1,カップ麺
R0746,北区,男性,40代,木,2024/03/07,12:01,昼,950,4,ティッシュ 洗剤 歯ブラシ シャンプー
R0747,西区,女性,10代,木,2024/02/15,12:38,昼,420,2,ポテトチップス 炭酸飲料
R0748,北区,男性,40代,日,2024/09/08,21:00,夜,1320,4,ティッシュ フルーツ トイレットペーパー 牛乳
R0749,中央区,女性,60代以上,土,2024/06/08,20:01,夜,1070,5,栄養ドリンク サラダ 卵 ジュース ヨーグルト
R0750,東区,男性,10代,月,2024/08/19,22:21,夜,1220,4,缶コーヒー 冷凍食品 炭酸飲料 弁当
R0751,中央区,男性,10代,月,2024/11/18,18:22,夜,360,2,チョコレート アイス
R0752,西区,女性,60代以上,土,2024/06/01,13:09,昼,590,2,サンドイッチ おにぎり
R0753,中央区,男性,60代以上,火,2024/03/05,07:22,朝,340,2,コーヒー ジュース
R0754,北区,女性,60代以上,金,2024/11/29,07:49,朝,190,1,ヨーグルト
R0755,東区,女性,60代以上,土,2024/06/08,18:55,夜,1110,4,牛乳 アイス 冷凍食品 トイレットペーパー
R0756,東区,男性,20代,火,2024/11/12,13:25,昼,660,3,ジュース ガム お茶
R0757,中央区,男性,20代,金,2024/05/24,11:28,昼,450,3,肉まん おにぎり お茶
R0758,中央区,男性,10代,金,2024/03/29,17:45,夜,140,1,おにぎり
R0759,東区,女性,60代以上,月,2024/02/05,17:35,夜,410,2,冷凍食品 ポテトチップス
R0760,西区,女性,40代,月,2024/01/01,07:39,朝,470,2,おにぎり 牛乳
R0761,北区,男性,10代,日,2024/10/06,20:22,夜,770,3,ジュース サラダ 炭酸飲料
R0762,北区,男性,50代,水,2024/10/09,15:00,昼,1150,3,肉まん 弁当 サンドイッチ
R0763,北区,男性,50代,月,2024/08/19,12:45,昼,1340,5,歯ブラシ トイレットペーパー 洗剤 ジュース ティッシュ
R0764,北区,女性,30代,金,2024/04/12,17:21,夜,690,3,チョコレート 冷凍食品 カップ麺
R0765,中央区,男性,20代,木,2024/02/08,20:14,夜,740,2,サンドイッチ サラダ
R0766,西区,男性,10代,木,2024/10/31,17:08,夜,260,2,ポテトチップス アイス
R0767,東区,男性,30代,金,2024/12/06,08:48,朝,430,2,おにぎり サラダ
R0768,西区,女性,20代,土,2024/01/27,09:32,朝,1120,4,牛乳 サンドイッチ ジュース コーヒー
R0769,北区,男性,30代,月,2024/12/30,20:46,夜,540,2,洗剤 ティッシュ
R0770,東区,男性,10代,土,2024/04/13,11:01,昼,600,2,サンドイッチ 洗剤
R0771,北区,女性,10代,火,2024/10/15,11:15,昼,260,2,お茶 おにぎり
R0772,東区,男性,10代,水,2024/11/06,14:09,昼,690,2,弁当 カップ麺
R0773,中央区,女性,40代,金,2024/01/05,11:45,昼,210,1,チョコレート
R0774,東区,女性,10代,水,2024/04/03,19:35,夜,290,1,サラダ
R0775,西区,女性,60代以上,土,2024/08/03,13:21,昼,430,2,卵 ヨーグルト
R0776,北区,女性,30代,月,2024/11/25,10:22,朝,290,1,サラダ
R0777,北区,男性,40代,水,2024/06/05,11:57,昼,590,2,サンドイッチ おにぎり
R0778,北区,男性,60代以上,土,2024/02/24,07:03,朝,310,1,炭酸飲料
R0779,北区,女性,10代,月,2024/05/06,22:04,夜,890,4,チョコレート カップ麺 炭酸飲料 肉まん
R0780,西区,女性,30代,日,2024/10/20,12:15,昼,970,4,ポテトチップス キャンディ おにぎり ガム
R0781,北区,男性,60代以上,土,2024/03/30,21:03,夜,830,3,炭酸飲料 ガム アイス
R0782,西区,女性,50代,日,2024/12/15,13:59,昼,950,4,洗剤 歯ブラシ シャンプー ティッシュ
R0783,東区,男性,40代,土,2024/11/16,13:56,昼,430,2,サラダ おにぎり
R0784,北区,女性,30代,金,2024/11/22,21:36,夜,1110,4,洗剤 歯ブラシ トイレットペーパー 牛乳
R0785,西区,女性,40代,日,2024/07/28,21:41,夜,880,4,チョコレート キャンディ ジュース アイス
R0786,東区,男性,10代,火,2024/11/12,11:17,昼,510,2,冷凍食品 チョコレート
R0787,北区,男性,20代,土,2024/04/20,11:29,昼,980,4,ジュース 肉まん サンドイッチ コーヒー
R0788,中央区,男性,30代,火,2024/04/30,12:19,昼,780,3,パン お茶 サンドイッチ
R0789,東区,女性,30代,土,2024/04/20,13:22,昼,390,1,ティッシュ
R0790,東区,男性,20代,月,2024/10/28,17:36,夜,980,4,肉まん 炭酸飲料 カップ麺 冷凍食品
R0791,中央区,男性,10代,金,2024/09/06,12:45,昼,1080,4,歯ブラシ 洗剤 ティッシュ 卵
R0792,東区,男性,20代,土,2024/03/30,20:25,夜,310,1,炭酸飲料
R0793,東区,女性,40代,火,2024/10/08,22:30,夜,300,2,カップ麺 お茶
R0794,東区,男性,40代,木,2024/02/22,13:10,昼,340,2,ジュース コーヒー
R0795,北区,女性,20代,金,2024/04/05,14:31,昼,810,3,弁当 お茶 カップ麺
R0796,西区,女性,40代,火,2024/08/20,13:59,昼,800,2,サラダ 弁当
R0797,中央区,女性,20代,水,2024/03/20,21:27,夜,660,3,パン お茶 牛乳
R0798,東区,女性,40代,月,2024/02/05,12:33,昼,450,1,サンドイッチ
R0799,北区,女性,60代以上,土,2024/01/13,14:35,昼,860,4,野菜ジュース フルーツ 卵 ジュース
R0800,北区,女性,50代,金,2024/02/23,14:54,昼,860,3,コーヒー ティッシュ 歯ブラシ
R0801,東区,女性,60代以上,金,2024/11/29,09:56,朝,640,3,パン ヨーグルト 卵
R0802,東区,女性,60代以上,日,2024/02/04,17:30,夜,1290,4,ティッシュ トイレットペーパー 牛乳 卵
R0803,東区,男性,50代,日,2024/05/05,22:13,夜,470,3,カップ麺 缶コーヒー 肉まん
R0804,北区,女性,60代以上,土,2024/06/15,18:11,夜,550,2,ガム 栄養ドリンク
R0805,東区,男性,20代,木,2024/09/19,13:47,昼,290,1,サラダ
R0806,中央区,男性,50代,木,2024/03/07,08:10,朝,720,4,卵 おにぎり ジュース コーヒー
R0807,中央区,女性,20代,月,2024/06/10,11:28,昼,780,3,サンドイッチ おにぎり ヨーグルト
R0808,中央区,男性,40代,金,2024/12/06,10:13,朝,140,1,おにぎり
R0809,北区,女性,60代以上,土,2024/02/24,17:00,夜,1160,4,卵 歯ブラシ サラダ トイレットペーパー
R0810,中央区,男性,50代,土,2024/09/07,06:27,朝,1740,6,トイレットペーパー 卵 洗剤 歯ブラシ ティッシュ 牛乳
R0811,中央区,女性,60代以上,木,2024/08/22,11:24,昼,700,3,おにぎり サラダ フルーツ
R0812,東区,女性,10代,木,2024/11/14,19:32,夜,240,2,缶コーヒー おにぎり
R0813,北区,女性,40代,水,2024/09/11,06:54,朝,1170,4,歯ブラシ ティッシュ 牛乳 アイス
R0814,中央区,女性,10代,火,2024/03/05,09:45,朝,920,3,卵 ガム 炭酸飲料
R0815,西区,男性,60代以上,日,2024/08/18,19:10,夜,150,1,アイス
R0816,西区,男性,10代,金,2024/06/07,13:43,昼,1020,4,チョコレート 炭酸飲料 キャンディ アイス
R0817,北区,女性,50代,土,2024/04/27,13:59,昼,1410,6,野菜ジュース サラダ アイス ヨーグルト フルーツ 牛乳
R0818,北区,女性,60代以上,日,2024/09/15,12:31,昼,820,4,ヨーグルト 野菜ジュース チョコレート 卵
R0819,西区,女性,40代,水,2024/08/21,08:20,朝,360,2,チョコレート アイス
R0820,西区,男性,60代以上,火,2024/03/12,14:05,昼,590,2,サンドイッチ おにぎり
R0821,東区,女性,20代,木,2024/08/01,14:15,昼,320,2,カップ麺 おにぎり
R0822,中央区,女性,20代,月,2024/06/03,19:01,夜,940,3,弁当 サラダ おにぎり
R0823,中央区,男性,30代,火,2024/03/05,21:57,夜,120,1,お茶
R0824,北区,男性,30代,日,2024/04/28,20:57,夜,1010,4,卵 お茶 弁当 おにぎり
R0825,中央区,男性,50代,日,2024/10/27,17:45,夜,700,3,卵 ヨーグルト フルーツ
R0826,東区,男性,40代,金,2024/02/23,20:51,夜,820,3,冷凍食品 炭酸飲料 チョコレート
R0827,中央区,男性,20代,水,2024/07/24,21:59,夜,870,3,牛乳 洗剤 ティッシュ
R0828,東区,女性,60代以上,水,2024/04/24,17:50,夜,290,2,ポテトチップス カップ麺
R0829,中央区,女性,10代,土,2024/07/06,19:37,夜,870,4,炭酸飲料 ポテトチップス 冷凍食品 アイス
R0830,北区,男性,60代以上,水,2024/03/20,14:49,昼,1140,4,ティッシュ 洗剤 フルーツ トイレットペーパー
R0831,北区,女性,20代,金,2024/09/06,06:04,朝,410,2,卵 コーヒー
R0832,北区,男性,40代,火,2024/02/27,11:40,昼,310,2,ジュース おにぎり
R0833,東区,男性,20代,金,2024/12/20,20:38,夜,630,3,ポテトチップス 炭酸飲料 チョコレート
R0834,中央区,女性,10代,日,2024/12/29,13:13,昼,570,3,チョコレート お茶 卵
R0835,中央区,女性,60代以上,水,2024/01/24,13:04,昼,510,1,弁当
R0836,北区,女性,30代,水,2024/05/29,19:10,夜,960,3,おにぎり 弁当 炭酸飲料
R0837,東区,男性,10代,水,2024/02/14,22:15,夜,660,2,キャンディ 炭酸飲料
R0838,西区,女性,10代,火,2024/01/23,19:57,夜,320,2,ジュース アイス
R0839,北区,男性,40代,日,2024/04/07,13:58,昼,1010,4,シャンプー 牛乳 トイレットペーパー 卵
R0840,東区,女性,30代,木,2024/12/12,14:13,昼,860,3,サンドイッチ サラダ お茶
R0841,中央区,男性,20代,日,2024/12/29,13:18,昼,930,3,チョコレート ガム キャンディ
R0842,西区,男性,10代,月,2024/03/25,12:28,昼,150,1,アイス
R0843,北区,男性,50代,土,2024/05/04,20:27,夜,1740,6,ティッシュ 野菜ジュース トイレットペーパー 歯ブラシ チョコレート 牛乳
R0844,東区,男性,30代,木,2024/11/28,10:02,朝,450,1,サンドイッチ
R0845,北区,女性,60代以上,火,2024/07/23,13:58,昼,1310,4,ティッシュ サラダ 牛乳 歯ブラシ
R0846,中央区,男性,30代,金,2024/03/22,20:45,夜,500,2,アイス キャンディ
R0847,東区,女性,30代,火,2024/05/07,18:30,夜,770,3,おにぎり お茶 弁当
R0848,中央区,男性,30代,火,2024/09/10,07:45,朝,950,4,卵 ジュース 牛乳 パン
R0849,中央区,女性,30代,火,2024/05/21,09:19,朝,540,3,ヨーグルト パン おにぎり
R0850,北区,女性,60代以上,土,2024/08/17,21:55,夜,1500,6,トイレットペーパー 卵 シャンプー 歯ブラシ 牛乳 肉まん
R0851,東区,男性,30代,日,2024/10/20,22:14,夜,1540,6,ティッシュ トイレットペーパー ポテトチップス 洗剤 シャンプー サンドイッチ
R0852,北区,女性,50代,日,2024/01/07,12:32,昼,930,4,トイレットペーパー ヨーグルト シャンプー 歯ブラシ
